"V01.00.000"
"$_Languages"
"9(1) Englisch (USA)";"7(1) Deutsch (Deutschland)";"513(1) Key"
"$_Timestamp"
"";"08.05.2008  07:25:37";""
"$_Typ(InterfaceComment)"
"Anzahl der Jobs";"Anzahl der Jobs";""
"0000...0007: SafetyIntegrated";"0000...0007: SafetyIntegrated";""
"HM NI Taste Arbeitsraumtür öffnen";"HM NI Taste Arbeitsraumtür öffnen";""
"NI Taste Arbeitsraumtür öffnen";"NI Taste Arbeitsraumtür öffnen";""
"ZwangsDyn Bereich 1 sperren";"ZwangsDyn Bereich 1 sperren";""
"HM PI Arbeitsraumtür verriegelt";"HM PI Arbeitsraumtür verriegelt";""
"nur für Abnahmetest setzen";"nur für Abnahmetest setzen";""
"kontrollieren";"kontrollieren";""
"HM MSST Taste Arbeitsraumtür auf/zu";"HM MSST Taste Arbeitsraumtür auf/zu";""
"PI MSST-Taste Arbeitsraumtür auf/zu";"PI MSST-Taste Arbeitsraumtür auf/zu";""
"Palettenwechsel nicht aktiv";"Palettenwechsel nicht aktiv";""
"HM RPT Taste Tür auf/zu";"HM RPT Taste Tür auf/zu";""
"PI RPT Taste Tür auf/zu";"PI RPT Taste Tür auf/zu";""
"HM WerkzeugMagazinTür entriegeln";"HM WerkzeugMagazinTür entriegeln";""
"PI WerkzeugMagazinTür entriegeln";"PI WerkzeugMagazinTür entriegeln";""
"Werkzeugwechsel nicht aktiv";"Werkzeugwechsel nicht aktiv";""
"HM PI Kühlaggregat Sammelfehler";"HM PI Kühlaggregat Sammelfehler";""
"HM NI Kühlaggregat Motorschutzschalter ok";"HM NI Kühlaggregat Motorschutzschalter ok";""
"Hydraulik nach Maschine_EIN Druck_ok erreicht";"Hydraulik nach Maschine_EIN Druck_ok erreicht";""
"HM NI 700143 Hydraulik P<min";"HM NI 700143 Hydraulik P<min";""
"Alle Warnungen von FC224";"Alle Warnungen von FC224";""
"Alle Meldungen von FC224";"Alle Meldungen von FC224";""
"HM PI Taste Spülpistole";"HM PI Taste Spülpistole";""
"Merker Spülpistole ein";"Merker Spülpistole ein";""
"PI Werkzeugmagazintür geschlossen";"PI Werkzeugmagazintür geschlossen";""
"PF Werkzeugmagazintür geschlossen";"PF Werkzeugmagazintür geschlossen";""
"Start Arbeitsraumtür öffnen";"Start Arbeitsraumtür öffnen";""
"IB: Teststopp Gruppe 1 (Arbeitsraum) aulösen";"IB: Teststopp Gruppe 1 (Arbeitsraum) aulösen";""
"IB: Teststopp Gruppe 2 (Magazinraum) aulösen";"IB: Teststopp Gruppe 2 (Magazinraum) aulösen";""
"IB: Teststopp Gruppe 3 (Rüstplatz) aulösen";"IB: Teststopp Gruppe 3 (Rüstplatz) aulösen";""
"frei";"frei";""
"0008...0015: Kühl- und Schmierstoff-Anlage";"0008...0015: Kühl- und Schmierstoff-Anlage";""
"letzte H7-IKZ-Hochdruck-Wert-Eingabe";"letzte H7-IKZ-Hochdruck-Wert-Eingabe";""
"PROP-Vorgabe: Aktueller H7-Wert / ""0"" mit M9";"PROP-Vorgabe: Aktueller H7-Wert / ""0"" mit M9";""
"M-Ausgang-Analog: PROP-Ventil IKZ-Hochdruck variabel";"M-Ausgang-Analog: PROP-Ventil IKZ-Hochdruck variabel";""
"IKZ-Z00: Grundstellung (M7=aus ohne Fehler)";"IKZ-Z00: Grundstellung (M7=aus ohne Fehler)";""
"IKZ-Z01: M7=ein Warten auf Durchfluss";"IKZ-Z01: M7=ein Warten auf Durchfluss";""
"IKZ-Z02: M7=ein Durchfluss OK ==> Freigabe Vorschub G1";"IKZ-Z02: M7=ein Durchfluss OK ==> Freigabe Vorschub G1";""
"IKZ-Z03: M7=aus Warten auf ""kein Durchfluss""";"IKZ-Z03: M7=aus Warten auf ""kein Durchfluss""";""
"IKZ-Z04: Fehler beim Anlauf ""Durchfluss fehlt"" (init: 5 s)";"IKZ-Z04: Fehler beim Anlauf ""Durchfluss fehlt"" (init: 5 s)";""
"IKZ-Z05: Fehler während G1-FG ""Durchfluss fehlt"" (init: 1 s)";"IKZ-Z05: Fehler während G1-FG ""Durchfluss fehlt"" (init: 1 s)";""
"IKZ-Z06: Fehler nach M7=aus ""weiterhin Durchfluss"" (init: 10 s)";"IKZ-Z06: Fehler nach M7=aus ""weiterhin Durchfluss"" (init: 10 s)";""
"IKZ-Z07: Fehler DF-Wächter elektrisch nicht OK";"IKZ-Z07: Fehler DF-Wächter elektrisch nicht OK";""
"HM KSA-Anlage KNOLL Eingang I_AUTOMATIK";"HM KSA-Anlage KNOLL Eingang I_AUTOMATIK";""
"ABST: ""Gelbe Taste"" für Simulation ""Durchfluss vorhanden""";"ABST: ""Gelbe Taste"" für Simulation ""Durchfluss vorhanden""";""
"0016...0017: Späneförderer";"0016...0017: Späneförderer";""
"HM PI Schalter SPF-Rechtslauf";"HM PI Schalter SPF-Rechtslauf";""
"HM PI Schalter SPF-Automatik";"HM PI Schalter SPF-Automatik";""
"HM PI Schalter SPF-Linkslauf";"HM PI Schalter SPF-Linkslauf";""
"0=Schnecke 1   / 1=Schnecke 2";"0=Schnecke 1   / 1=Schnecke 2";""
"HMI Späneförderer eingeschaltet";"HMI Späneförderer eingeschaltet";""
"0018...0021: Temperatur-Kompensation";"0018...0021: Temperatur-Kompensation";""
