"V01.00.000"
"$_Languages"
"9(1) Englisch (USA)";"7(1) Deutsch (Deutschland)";"513(1) Key"
"$_Timestamp"
"08.05.2008  10:10:21";"08.05.2008  13:04:05";""
"$_Typ(LineComment)"
" oder keine Palettenverwaltung";" oder keine Palettenverwaltung";""
" setze Maschinenpalette auf Stoerung";" setze Maschinenpalette auf Stoerung";""
" und Fehler Bruch ";" und Fehler Bruch ";""
" und Kanal Reset";" und Kanal Reset";""
" Ruecksetbxze Merker Palette auf Stoerung";" Ruecksetbxze Merker Palette auf Stoerung";""
"""DB_SIEM_BAG"".E_AUTO";"""DB_SIEM_BAG"".E_AUTO";""
" Programm läuft";" Programm läuft";""
" Transportwagen belegt    ";" Transportwagen belegt    ";""
" Speicher in Auto Betrieb";" Speicher in Auto Betrieb";""
"  Palette Maschine auf Stoerung ";"  Palette Maschine auf Stoerung ";""
" keine erneute Prg anwahl, wenn auf Stoerung";" keine erneute Prg anwahl, wenn auf Stoerung";""
" nur in AUTO, kein Prg läuft --> Prg anwählen";" nur in AUTO, kein Prg läuft --> Prg anwählen";""
" ""BAG"".E_AUTO";" ""BAG"".E_AUTO";""
" wenn unbearbeitete Palette in Maschine --> diese anwählen , sonst neue anwählen";" wenn unbearbeitete Palette in Maschine --> diese anwählen , sonst neue anwählen";""
" Palette in Maschine";" Palette in Maschine";""
" und Rohteil  ";" und Rohteil  ";""
" und Maschinenplatz in Jobliste";" und Maschinenplatz in Jobliste";""
" Programm von Maschine angewaehlt";" Programm von Maschine angewaehlt";""
"in Auto-Betrieb, wenn kein Prg läuft Programm anwählen";"in Auto-Betrieb, wenn kein Prg läuft Programm anwählen";""
" neue Palette anwaehlen";" neue Palette anwaehlen";""
" 0:Maschine,1:Überpl1,2:Überpl2,3:Transportw,4:Ruepl,5-xx:Speicherpl 1 -- xx ";" 0:Maschine,1:Überpl1,2:Überpl2,3:Transportw,4:Ruepl,5-xx:Speicherpl 1 -- xx ";""
" und Fertigteil  ";" und Fertigteil  ";""
" Gesperrt/Defekt";" Gesperrt/Defekt";""
" Palette auf Übergabeplatz";" Palette auf Übergabeplatz";""
" Leerpalette";" Leerpalette";""
" Einpalettenbetrieb: Job in Maschine einziger Job";" Einpalettenbetrieb: Job in Maschine einziger Job";""
